season_end_year,player,min_playing,gls_per,ast_per,x_g_per,x_ag_per
2005,Luigi Pieroni,1143,0.47,0.08,NA,NA
2005,Johan Radet,1080,0,0,NA,NA
2005,David Recorbet,459,0,0,NA,NA
2005,Bacary Sagna,2330,0,0,NA,NA
2005,Teemu Tainio,1578,0.11,0.11,NA,NA
2005,David Vandenbossche,71,0,0,NA,NA
2005,Philippe Violeau,3147,0.03,0.03,NA,NA
2005,Damià Abella,458,0,0,NA,NA
2005,Demetrio Albertini,259,0,0,NA,NA
2005,Juliano Belletti,2536,0,0.14,NA,NA
2005,Giovanni van Bronckhorst,2388,0.15,0.04,NA,NA
2005,Deco,2947,0.24,0.34,NA,NA
2005,Edmílson,362,0,0,NA,NA
2005,Samuel Eto'o,3036,0.71,0.09,NA,NA
2005,Gabri García,57,0,0,NA,NA
2005,Ludovic Giuly,2080,0.48,0.17,NA,NA
2005,Andrés Iniesta,1657,0.11,0.11,NA,NA
2005,Albert Jorquera,180,0,0,NA,NA
2005,Henrik Larsson,571,0.47,0,NA,NA
2005,Gerard López,302,0.6,0,NA,NA
2005,Maxi López,237,0,0,NA,NA
2005,Rafael Márquez,2715,0.1,0.13,NA,NA
2005,Lionel Messi,70,1.29,0,NA,NA
2005,Thiago Motta,273,0,0,NA,NA
2005,Fernando Navarro,217,0,0,NA,NA
2005,Oleguer Presas,2926,0.03,0.03,NA,NA
2005,Carles Puyol,3109,0,0.03,NA,NA
2005,Rodri,3,0,NA,NA,NA
2005,Ronaldinho,3071,0.26,0.26,NA,NA
2005,Rubén,105,0,0,NA,NA
2005,Sylvinho,960,0,0.09,NA,NA
2005,Víctor Valdés,3135,0,0,NA,NA
2005,Xavi,3052,0.09,0.18,NA,NA
2005,Pierre-Yves André,1484,0.24,0.12,NA,NA
2005,Chaouki Ben Saada,1031,0.09,0,NA,NA
2005,Abdelmalek Cherrad,520,0,0,NA,NA
2005,Pascal Chimbonda,3215,0.08,0.03,NA,NA
2005,Hénoch Conombo,277,0,0,NA,NA
2005,Gary Coulibaly,15,0,0,NA,NA
2005,Paul Essola,238,0,0,NA,NA
2005,Bernt Haas,346,0,0,NA,NA
2005,Youssouf Hadji,2592,0.24,0.07,NA,NA
2005,Fabrice Jau,2205,0.16,0,NA,NA
2005,Christian Karembeu,630,0,0,NA,NA
2005,Jean-Louis Leca,91,0,0,NA,NA
2005,Benjamin Longue,12,0,0,NA,NA
2005,Franck Matingou,1686,0,0,NA,NA
2005,Frédéric Née,1488,0.18,0.18,NA,NA
2005,Nicolas Penneteau,3329,0,0,NA,NA
2005,Sébastien Piocelle,1069,0,0,NA,NA
2005,Romain Rocchi,1899,0.05,0.19,NA,NA
2005,David Sauget,1372,0,0.13,NA,NA
2005,Djibril Sidibé,2475,0.07,0.07,NA,NA
2005,Alex Song,2344,0,0.04,NA,NA
2005,Bjørn Tore Kvarme,838,0,0,NA,NA
2005,Cédric Uras,1554,0,0,NA,NA
2005,Tony Vairelles,1374,0.26,0,NA,NA
2005,Greg Vanney,1550,0,0,NA,NA
2005,Antar Yahia,2700,0.07,0.07,NA,NA
2005,Stéphane Ziani,1114,0.08,0.16,NA,NA
2005,Michael Ballack,2396,0.49,0.23,NA,NA
2005,Sebastian Deisler,1050,0.34,0.17,NA,NA
2005,Martín Demichelis,1435,0,0.06,NA,NA
2005,Torsten Frings,2152,0.13,0.17,NA,NA
2005,Andreas Görlitz,487,0,0,NA,NA
2005,Paolo Guerrero,699,0.77,0.26,NA,NA
2005,Owen Hargreaves,1658,0.05,0.16,NA,NA
2005,Vahid Hashemian,318,0,0,NA,NA
2005,Jens Jeremies,186,0,0,NA,NA
2005,Oliver Kahn,2790,0,0,NA,NA
2005,Robert Kovač,1919,0,0,NA,NA
2005,Samuel Kuffour,473,0,0,NA,NA
2005,Thomas Linke,847,0,0,NA,NA
2005,Bixente Lizarazu,997,0,0,NA,NA
2005,Lúcio,2795,0.1,0,NA,NA
2005,Roy Makaay,2840,0.7,0.32,NA,NA
2005,Claudio Pizarro,1715,0.58,0.21,NA,NA
2005,Tobias Rau,416,0,0,NA,NA
2005,Michael Rensing,270,0,0,NA,NA
2005,Zé Roberto,1442,0.06,0.31,NA,NA
2005,Willy Sagnol,1801,0.05,0.25,NA,NA
2005,Hasan Salihamidžić,2212,0.08,0.08,NA,NA
2005,Roque Santa Cruz,209,0,0.43,NA,NA
2005,Mehmet Scholl,943,0.29,0.67,NA,NA
2005,Bastian Schweinsteiger,1658,0.16,0.43,NA,NA
2005,Alexander Zickler,9,0,0,NA,NA
2005,Arzu,2022,0,0.04,NA,NA
2005,Marcos Assunção,2679,0.27,0.13,NA,NA
2005,Capi,345,0,0.26,NA,NA
2005,Paolo Castellini,540,0,0,NA,NA
2005,Denílson,289,0,0,NA,NA
2005,Toni Doblas,2610,0,0,NA,NA
2005,Edu,2652,0.37,0.14,NA,NA
2005,Luis Fernández,1714,0,0,NA,NA
2005,Fernando,2426,0.19,0.15,NA,NA
2005,Israel,215,0,0,NA,NA
2005,Joaquín,3257,0.14,0.41,NA,NA
2005,Juan José Cañas,1515,0,0,NA,NA
2005,Juanito,2949,0.12,0.03,NA,NA
2005,Alejandro Lembo,759,0,0.12,NA,NA
2005,Daniel Martín,86,1.05,0,NA,NA
2005,Melli,2518,0.04,0.04,NA,NA
2005,Pablo Niño,266,0,0,NA,NA
2005,Ricardo Oliveira,3283,0.6,0.14,NA,NA
2005,Alfonso Pérez,186,0,0,NA,NA
2005,Toni Prats,810,0,0,NA,NA
2005,David Rivas,2836,0.13,0.06,NA,NA
2005,Ismael Santiago,118,0,NA,NA,NA
2005,Washington Tais,958,0,0,NA,NA
2005,Fernando Varela,1627,0,0.17,NA,NA
2005,Benjamín Zarandona,968,0,0,NA,NA
2005,Darren Anderton,868,0.31,0.1,NA,NA
2005,Robbie Blake,335,0.54,0,NA,NA
2005,Darren Carter,1040,0.17,0.09,NA,NA
2005,Jamie Clapham,1673,0,0,NA,NA
2005,Stephen Clemence,1300,0,0.07,NA,NA
2005,Kenny Cunningham,3168,0,0,NA,NA
2005,Salif Diao,675,0,0,NA,NA
2005,David Dunn,722,0.25,0.37,NA,NA
2005,Julian Gray,1919,0.09,0,NA,NA
2005,Jesper Grønkjær,1143,0,0.08,NA,NA
2005,Emile Heskey,2872,0.31,0.13,NA,NA
2005,Muzzy Izzet,816,0.11,0.11,NA,NA
2005,Stern John,54,0,NA,NA,NA
2005,Damien Johnson,3109,0,0.03,NA,NA
2005,Stan Lazaridis,1346,0,0.07,NA,NA
2005,Mario Melchiot,2842,0.03,0.03,NA,NA
2005,Clinton Morrison,1232,0.29,0.15,NA,NA
2005,Mehdi Nafti,606,0,0,NA,NA
2005,Walter Pandiani,1041,0.35,0.17,NA,NA
2005,Jermaine Pennant,1011,0,NA,NA,NA
2005,Robbie Savage,1613,0.22,NA,NA,NA
2005,Maik Taylor,3420,0,0,NA,NA
2005,Martin Taylor,358,0,0,NA,NA
2005,Olivier Tébily,764,0,0,NA,NA
2005,Matthew Upson,3240,0.06,0.03,NA,NA
2005,Dwight Yorke,526,0.34,0,NA,NA
2005,Lorenzo Amoruso,453,0,0,NA,NA
2005,Jay Bothroyd,488,0.18,0,NA,NA
2005,Matt Derbyshire,9,0,NA,NA,NA
2005,Paul Dickov,2358,0.34,0.08,NA,NA
2005,Youri Djorkaeff,202,0,0.45,NA,NA
2005,Jonathan Douglas,45,0,NA,NA,NA
2005,Brett Emerton,3088,0.12,0.12,NA,NA
2005,Barry Ferguson,1890,0.1,0.05,NA,NA
2005,Garry Flitcroft,1443,0,0,NA,NA
2005,Brad Friedel,3420,0,0,NA,NA
2005,Paul Gallagher,524,0.34,0.17,NA,NA
2005,Morten Gamst Pedersen,1546,0.23,0.17,NA,NA
2005,Michael Gray,803,0,0,NA,NA
2005,Vratislav Greško,137,0,0,NA,NA
2005,Matt Jansen,298,0.6,0,NA,NA
2005,Nils-Eric Johansson,1711,0,0,NA,NA
2005,Jemal Johnson,87,0,0,NA,NA
2005,Tugay Kerimoğlu,1264,0,0.07,NA,NA
2005,Dominic Matteo,2236,0,0.04,NA,NA
2005,Jay McEveley,450,0,0,NA,NA
2005,Aaron Mokoena,1282,0,0.07,NA,NA
2005,Lucas Neill,3150,0.03,0.06,NA,NA
2005,Ryan Nelsen,1350,0,0,NA,NA
2005,Javier de Pedro,59,0,NA,NA,NA
