crime_id,crime_type,crime_date,year,crime_lat,crime_lon
v3782,Agresion,9/22/2010,2010,39.4800415,-0.374443889
v3783,Agresion,9/22/2010,2010,39.47386169,-0.382527739
v3784,Agresion,9/22/2010,2010,39.46421814,-0.339548588
v3785,Otros,9/22/2010,2010,39.48426437,-0.376475006
v3786,Agresion,9/22/2010,2010,39.4694252,-0.355367005
v3787,Agresion,9/22/2010,2010,39.4617691,-0.385235012
v3788,Agresion,9/22/2010,2010,39.47108841,-0.332349986
v3789,Agresion,9/22/2010,2010,39.47327805,-0.38141337
v379,Agresion,3/4/2010,2010,39.45259094,-0.389314681
v3790,Agresion,9/23/2010,2010,39.49052811,-0.390066981
v3791,Otros,9/23/2010,2010,39.46820068,-0.40437001
v3792,Agresion,9/23/2010,2010,39.47253418,-0.342865795
v3793,Agresion,9/23/2010,2010,39.47070313,-0.339964986
v3794,Sustraccion,9/23/2010,2010,39.45511627,-0.37426284
v3795,Agresion,9/23/2010,2010,39.47280502,-0.340242714
v3796,Agresion,9/23/2010,2010,39.46148682,-0.34207499
v3797,Agresion,9/23/2010,2010,39.46512222,-0.344795078
v3798,Agresion,9/23/2010,2010,39.46023178,-0.392473787
v3799,Agresion,9/23/2010,2010,39.47122955,-0.352279991
v38,Agresion,1/7/2010,2010,39.44961548,-0.38520357
v380,Agresion,3/4/2010,2010,39.48047256,-0.37144351
v3800,Sustraccion,9/23/2010,2010,39.49113846,-0.388565004
v3801,Sustraccion,9/23/2010,2010,39.4829216,-0.386188179
v3802,Otros,9/24/2010,2010,39.47845078,-0.354197413
v3803,Agresion,9/24/2010,2010,39.48391342,-0.39628154
v3804,Sustraccion,9/24/2010,2010,39.45185089,-0.388749987
v3805,Agresion,9/24/2010,2010,39.46193314,-0.366733909
v3806,Agresion,9/24/2010,2010,39.45663452,-0.363635272
v3807,Agresion,9/24/2010,2010,39.44762039,-0.372474998
v3808,Sustraccion,9/24/2010,2010,39.46428299,-0.323361337
v3809,Agresion,9/24/2010,2010,39.4874115,-0.385845006
v381,Agresion,3/4/2010,2010,39.46776962,-0.346284986
v3810,Agresion,9/24/2010,2010,39.48725128,-0.379253954
v3811,Sustraccion,9/24/2010,2010,39.47436142,-0.394154996
v3812,Agresion,9/24/2010,2010,39.47227097,-0.39620921
v3813,Sustraccion,9/24/2010,2010,39.47280502,-0.340242714
v3814,Agresion,9/24/2010,2010,39.46677017,-0.367629111
v3815,Sustraccion,9/24/2010,2010,39.46820068,-0.40437001
v3816,Agresion,9/24/2010,2010,39.48867035,-0.389472514
v3817,Agresion,9/24/2010,2010,39.47389984,-0.395002007
v3818,Agresion,9/24/2010,2010,39.49477386,-0.37944001
v3819,Agresion,9/24/2010,2010,39.44268036,-0.368604988
v382,Agresion,3/4/2010,2010,39.4755249,-0.383315504
v3820,Agresion,9/24/2010,2010,39.49323654,-0.407185197
v3821,Agresion,9/25/2010,2010,39.49747086,-0.415841103
v3822,Otros,9/25/2010,2010,39.48738098,-0.371980011
v3823,Agresion,9/25/2010,2010,39.47663116,-0.334715545
v3824,Agresion,9/25/2010,2010,39.46451569,-0.377544194
v3825,Otros,9/25/2010,2010,39.44861984,-0.38624236
v3826,Agresion,9/25/2010,2010,39.49567413,-0.37236619
v3827,Agresion,9/25/2010,2010,39.50471878,-0.419631451
v3828,Agresion,9/25/2010,2010,39.4796524,-0.381952822
v3829,Agresion,9/25/2010,2010,39.47104263,-0.376765639
v383,Agresion,3/5/2010,2010,39.46272278,-0.346853971
v3830,Agresion,9/25/2010,2010,39.45898056,-0.364313602
v3831,Agresion,9/25/2010,2010,39.46744919,-0.349299818
v3832,Agresion,9/25/2010,2010,39.47249603,-0.380281866
v3833,Agresion,9/25/2010,2010,39.4759407,-0.328622699
v3834,Agresion,9/25/2010,2010,39.47790909,-0.398453474
v3835,Otros,9/25/2010,2010,39.47104263,-0.376765639
v3836,Sustraccion,9/25/2010,2010,39.44303131,-0.391581357
v3837,Agresion,9/25/2010,2010,39.44540024,-0.367098868
v3838,Sustraccion,9/25/2010,2010,39.48823166,-0.397754103
v3839,Agresion,9/25/2010,2010,39.46848297,-0.402044594
v384,Agresion,3/5/2010,2010,39.47325134,-0.381559998
v3840,Agresion,9/25/2010,2010,39.47104263,-0.376765639
v3841,Agresion,9/25/2010,2010,39.45915222,-0.373259515
v3842,Agresion,9/25/2010,2010,39.47663116,-0.334715545
v3843,Sustraccion,9/25/2010,2010,39.46567154,-0.335684329
v3844,Agresion,9/25/2010,2010,39.47063828,-0.394630164
v3845,Agresion,9/25/2010,2010,39.45221329,-0.334495008
v3846,Sustraccion,9/25/2010,2010,39.46998978,-0.334114999
v3847,Sustraccion,9/25/2010,2010,39.4878006,-0.3926
v3848,Agresion,9/25/2010,2010,39.47111511,-0.37967816
v3849,Agresion,9/25/2010,2010,39.46641159,-0.379444003
v385,Agresion,3/5/2010,2010,39.46883392,-0.392426997
v3850,Agresion,9/25/2010,2010,39.47211456,-0.347559601
v3851,Agresion,9/26/2010,2010,39.46360016,-0.373950005
v3852,Agresion,9/26/2010,2010,39.46575928,-0.349314988
v3853,Agresion,9/26/2010,2010,39.49368668,-0.390980005
v3854,Agresion,9/26/2010,2010,39.4943428,-0.37031281
v3855,Agresion,9/26/2010,2010,39.47439957,-0.364609987
v3856,Sustraccion,9/26/2010,2010,39.46554184,-0.379989982
v3857,Agresion,9/26/2010,2010,39.48790741,-0.400717884
v3858,Agresion,9/26/2010,2010,39.43937683,-0.38648954
v3859,Agresion,9/26/2010,2010,39.45636749,-0.393190086
v386,Sustraccion,3/5/2010,2010,39.47253418,-0.342865795
v3860,Otros,9/26/2010,2010,39.45760345,-0.37414521
v3861,Sustraccion,9/26/2010,2010,39.46910858,-0.402249992
v3862,Sustraccion,9/26/2010,2010,39.46250534,-0.368690073
v3863,Agresion,9/26/2010,2010,39.4342308,-0.392749995
v3864,Agresion,9/26/2010,2010,39.43442535,-0.390975118
v3865,Agresion,9/26/2010,2010,39.47657776,-0.376939863
v3866,Agresion,9/26/2010,2010,39.45983505,-0.384950012
